name,lat,long,formatted_address,types
Porsche Centre Jakarta,-6.2412819,106.7825038,"Jalan Sultan Iskandar Muda No. 51, Arteri Pondok Indah, Kebayoran Lama Utara, Kebayoran Lama, RT.6/RW.3, RT.2/RW.3, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Porsche Bengkel Liqui Moly,-6.237869099999999,106.6558796,"Jalan Sutera Olivia XVI No.7, Alam Sutra, Serpong Utara, Pakualam, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15320, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
PORSCHE PORS WERKS,-6.218849199999999,106.7315075,"Jalan Raya Joglo No.72 2 1, RT.1/RW.1, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
TGP. Porsche Alam Sutera Bengkel LIQUI MOLY,-6.238489400000001,106.6486132,"Pakulonan, North Serpong, South Tangerang City, Banten 15325, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Porsche Club,-6.2502274,106.7815194,"Jl. Sultan Iskandar Muda No. 51, Arteri Pondok Indah, RT.7/RW.2, Kby. Lama Sel., Kec. Kby. Lama, Jakarta, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['point_of_interest', 'establishment']"
