name,lat,long,formatted_address,types
KANG EMUY GARAGE Mitsubishi - Proton,-6.563637,106.802876,"Jl. Let. Tata Winata No.37, RT.6/RW.2, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164, Indonesia","['electronics_store', 'store', 'point_of_interest', 'establishment']"
Penghemat BBM Mobil Proton Saga JSOne - Dokter Mobil,-6.1466669,106.9094441,"Blok QJ 1 No. 17, Jl. Boulevard Raya, RT.12/RW.15, Klp. Gading Bar., Kelapa, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","['point_of_interest', 'establishment']"
Proton Liftindo Perkasa,-6.139401700000001,106.8195661,"Jl P Jayakarta 93-A Pinang Siang Tambora Jakarta Barat DKI Jakarta, RT.1/RW.3, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Proton,-6.2711018,106.9807213,"Jl. Raya Pekayon No.27B, Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17147, Indonesia","['point_of_interest', 'establishment']"
Sentro,-6.2795527,106.7217671,"Bintaro Trade Center, Blok E 3, No. 1-2,, Jalan Jendral Sudirman, Bintaro Jaya Sektor 7, Pondok Jaya, Pondok Aren, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Proton Saga. PT,-6.225332,107.01647,"Jalan Bekasi Permai No.20, RT.5/RW.3, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112, Indonesia","['point_of_interest', 'establishment']"
Proton Futures Investasi,-6.2723322,106.7255402,"Bintaro Jaya Sektor 7, Jl. Wahid Hasyim, Jurang Mangu Barat, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224, Indonesia","['finance', 'point_of_interest', 'establishment']"
Proton Arjuna utara,-6.183794,106.7875835,"Jl. Way Seputih No.1A, RT.4/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia","['point_of_interest', 'establishment']"
Proton Panel Beton,-6.4000492,106.6240649,"Taman Sari, Rumpin, Bogor, West Java 16350, Indonesia","['general_contractor', 'point_of_interest', 'establishment']"
Penghemat BBM Mobil Proton Saga JSOne-Dokter Mobil,-6.1464962,106.9094012,"Blok QJ 1 No. 17, Jl. Boulevard Raya, RT.12/RW.15, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","['point_of_interest', 'establishment']"
Pt. Proton Liftindo Jaya,-6.127882400000001,106.8143568,"Jl. Lodan Raya No.12-A, RT.4/RW.1, Ancol, Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia","['point_of_interest', 'establishment']"
PT PROTON EDAR INDONESIA,-6.270908899999999,106.9806675,"Jl. Raya Pekayon No.27B, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17147, Indonesia","['point_of_interest', 'establishment']"
Proton Edar Indonesia Head Office and Warehouse,-6.1969071,106.9796444,"Jl. Raya Kaliabang, Medan Satria, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17132, Indonesia","['point_of_interest', 'establishment']"
